"StationID","Duration","SensorNumber","SensorType","Date","ObsDate","Value","DataFlag","SensorUnits"
"CAL","M",2,"RAIN",1985-10-01,1985-10-31,1.77,"","INCHES"
"CAL","M",2,"RAIN",1985-11-01,1985-11-30,1.75,"","INCHES"
"CAL","M",2,"RAIN",1985-12-01,1985-12-31,2.07,"","INCHES"
"CAL","M",2,"RAIN",1986-01-01,1986-01-31,3.75,"","INCHES"
"CAL","M",2,"RAIN",1986-02-01,1986-02-28,9.34,"","INCHES"
"CAL","M",2,"RAIN",1986-03-01,1986-03-31,2.98,"","INCHES"
"CAL","M",2,"RAIN",1986-04-01,1986-04-30,0.63,"","INCHES"
"CAL","M",2,"RAIN",1986-05-01,1986-05-31,0.67,"","INCHES"
"CAL","M",2,"RAIN",1986-06-01,1986-07-01,1.07,"","INCHES"
"CAL","M",2,"RAIN",1986-07-01,1986-06-30,0.04,"","INCHES"
"CAL","M",2,"RAIN",1986-08-01,1986-08-31,0,"","INCHES"
"CAL","M",2,"RAIN",1986-09-01,1986-10-01,1.65,"","INCHES"
"CAL","M",2,"RAIN",1986-10-01,1986-10-31,1.04,"","INCHES"
"CAL","M",2,"RAIN",1986-11-01,1986-12-01,1.57,"","INCHES"
"CAL","M",2,"RAIN",1986-12-01,1986-11-30,1.26,"","INCHES"
"CAL","M",2,"RAIN",1987-01-01,1987-01-31,1.93,"","INCHES"
"CAL","M",2,"RAIN",1987-02-01,1987-02-28,2.01,"","INCHES"
"CAL","M",2,"RAIN",1987-03-01,1987-03-31,3.38,"","INCHES"
"CAL","M",2,"RAIN",1987-04-01,1987-04-30,0.75,"","INCHES"
"CAL","M",2,"RAIN",1987-05-01,1987-05-31,1.04,"","INCHES"
"CAL","M",2,"RAIN",1987-06-01,1987-06-30,1.07,"","INCHES"
"CAL","M",2,"RAIN",1987-07-01,1987-07-31,1.02,"","INCHES"
"CAL","M",2,"RAIN",1987-08-01,1987-08-31,0.06,"","INCHES"
"CAL","M",2,"RAIN",1987-09-01,1987-09-30,0,"","INCHES"
"CAL","M",2,"RAIN",1987-10-01,1987-09-28,0.09,"","INCHES"
"CAL","M",2,"RAIN",1987-11-01,1987-10-29,1.43,"","INCHES"
"CAL","M",2,"RAIN",1987-12-01,1987-11-28,7.27,"","INCHES"
"CAL","M",2,"RAIN",1988-01-01,1988-12-28,2.8,"","INCHES"
"CAL","M",2,"RAIN",1988-02-01,1988-01-31,0.06,"","INCHES"
"CAL","M",2,"RAIN",1988-03-01,1988-02-29,0.24,"","INCHES"
"CAL","M",2,"RAIN",1988-04-01,1988-03-31,1.54,"","INCHES"
"CAL","M",2,"RAIN",1988-05-01,1988-04-30,1.51,"","INCHES"
"CAL","M",2,"RAIN",1988-06-01,1988-05-29,2.02,"","INCHES"
"CAL","M",2,"RAIN",1988-07-01,1988-06-28,0.01,"","INCHES"
"CAL","M",2,"RAIN",1988-08-01,1988-07-29,0.26,"","INCHES"
"CAL","M",2,"RAIN",1988-09-01,1988-08-29,0.1,"","INCHES"
"CAL","M",2,"RAIN",1988-10-01,1988-09-28,0.14,"","INCHES"
"CAL","M",2,"RAIN",1988-11-01,1988-10-29,6.58,"","INCHES"
"CAL","M",2,"RAIN",1988-12-01,1988-11-28,0.96,"","INCHES"
"CAL","M",2,"RAIN",1989-01-01,1989-12-30,1.68,"","INCHES"
"CAL","M",2,"RAIN",1989-02-01,1989-01-31,0.52,"","INCHES"
"CAL","M",2,"RAIN",1989-03-01,1989-02-28,5.16,"","INCHES"
"CAL","M",2,"RAIN",1989-04-01,1989-03-31,1.01,"","INCHES"
"CAL","M",2,"RAIN",1989-05-01,1989-04-30,1.43,"","INCHES"
"CAL","M",2,"RAIN",1989-06-01,1989-05-29,0.77,"","INCHES"
"CAL","M",2,"RAIN",1989-07-01,1989-06-28,0,"","INCHES"
"CAL","M",2,"RAIN",1989-08-01,1989-07-29,0.22,"","INCHES"
"CAL","M",2,"RAIN",1989-09-01,1989-08-29,1.99,"","INCHES"
"CAL","M",2,"RAIN",1989-10-01,1989-09-28,2.83,"","INCHES"
"CAL","M",2,"RAIN",1989-11-01,1989-10-29,0.86,"","INCHES"
"CAL","M",2,"RAIN",1989-12-01,1989-11-28,0.26,"","INCHES"
"CAL","M",2,"RAIN",1990-01-01,1990-12-29,4.63,"","INCHES"
"CAL","M",2,"RAIN",1990-02-01,1990-02-28,0.67,"","INCHES"
"CAL","M",2,"RAIN",1990-03-01,1990-02-28,1.12,"","INCHES"
"CAL","M",2,"RAIN",1990-04-01,1990-03-31,1.67,"","INCHES"
"CAL","M",2,"RAIN",1990-05-01,1990-04-30,3.1,"","INCHES"
"CAL","M",2,"RAIN",1990-06-01,1990-05-29,0.16,"","INCHES"
"CAL","M",2,"RAIN",1990-07-01,1990-07-29,1.2,"","INCHES"
"CAL","M",2,"RAIN",1990-08-01,1990-08-29,0.33,"","INCHES"
"CAL","M",2,"RAIN",1990-09-01,1990-09-28,0.8,"","INCHES"
"CAL","M",2,"RAIN",1990-10-01,1990-10-29,1.03,"","INCHES"
"CAL","M",2,"RAIN",1990-11-01,1990-11-28,1.31,"","INCHES"
"CAL","M",2,"RAIN",1990-12-01,1990-12-29,0.74,"","INCHES"
"CAL","M",2,"RAIN",1991-01-01,1991-01-31,0.68,"","INCHES"
"CAL","M",2,"RAIN",1991-02-01,1991-02-28,2.28,"","INCHES"
"CAL","M",2,"RAIN",1991-03-01,1991-03-31,3.61,"","INCHES"
"CAL","M",2,"RAIN",1991-04-01,1991-04-30,0.81,"","INCHES"
"CAL","M",2,"RAIN",1991-05-01,1991-05-29,0.94,"","INCHES"
"CAL","M",2,"RAIN",1991-06-01,1991-06-28,1.46,"","INCHES"
